pre	post	type	synapses
ADLL	AWCL	chemical	5
ADLL	PVPL	chemical	1
ADLL	RMGL	electrical	2
ADLL	SMBVL	chemical	1
ADLR	AIAR	chemical	5
ADLR	AIBR	chemical	6
ADLR	ASER	chemical	3
ADLR	ASHR	chemical	3
ADLR	ASKR	chemical	1
ADLR	AVAR	chemical	1
ADLR	AVDL	chemical	4
ADLR	AVDR	chemical	1
ADLR	AVJR	chemical	1
ADLR	AWCR	chemical	4
ADLR	RMGR	electrical	2
ADLR	SMBVR	chemical	1
AFDL	AFDR	electrical	2
AFDL	AIBL	electrical	2
AFDL	AIYL	chemical	5
AFDR	AIBR	electrical	2
AFDR	AIYR	chemical	8
AFDR	BAGL	chemical	1
AIAL	ADFL	electrical	2
AIAL	AIBL	chemical	9
AIAL	AINR	electrical	2
AIAL	ASEL	chemical	2
AIAL	ASIL	chemical	2
AIAL	ASIL	electrical	4
AIAL	AWAL	electrical	4
AIAL	AWCR	chemical	3
AIAL	RIFL	chemical	2
AIAR	ADAR	chemical	1
AIAR	ADFR	electrical	2
AIAR	AIAL	electrical	2
AIAR	AIBR	chemical	13
AIAR	AINL	electrical	2
AIAR	ASER	chemical	1
AIAR	ASHR	chemical	2
AIAR	AWAR	electrical	4
AIAR	AWCR	chemical	10
AIAR	AWCR	electrical	2
AIAR	RIFR	chemical	3
AIBL	AIAL	chemical	1
AIBL	AVBL	chemical	4
AIBL	AVBR	chemical	1
AIBL	AVEL	chemical	1
AIBL	RIBR	chemical	4
AIBL	RIML	chemical	1
AIBL	RIMR	chemical	12
AIBL	SAADL	chemical	2
AIBL	SMDDR	chemical	4
AIBR	AIBL	electrical	2
AIBR	AVAL	chemical	1
AIBR	AVBR	chemical	4
AIBR	DVC	chemical	1
AIBR	RIBL	chemical	8
AIBR	RIML	chemical	13
AIBR	RIMR	chemical	1
AIBR	SAADR	chemical	2
AIBR	SMDDL	chemical	6
AIBR	SMDVL	chemical	2
AIML	ADFL	chemical	1
AIML	AIAL	chemical	7
AIML	AIBL	chemical	1
AIML	ASGL	chemical	4
AIML	ASJL	chemical	2
AIML	ASKL	chemical	1
AIML	AVEL	chemical	1
AIML	AVFL	chemical	1
AIML	CEPshVL	chemical	1
AIMR	ADFR	chemical	1
AIMR	AIAR	chemical	6
AIMR	AIML	electrical	2
AIMR	AIYR	chemical	1
AIMR	ASGR	chemical	4
AIMR	ASJR	chemical	2
AIMR	ASKR	chemical	2
AIMR	AVDR	chemical	1
AIMR	URXR	chemical	1
AINL	AFDR	chemical	5
AINL	AIBL	chemical	1
AINL	ASEL	chemical	1
AINL	ASGL	electrical	2
AINL	AUAR	chemical	2
AINL	BAGL	chemical	4
AINL	BAGR	chemical	2
AINL	CEPshVR	chemical	2
AINL	CEPVR	chemical	1
AINL	RIBL	chemical	2
AINL	RIBR	chemical	2
AINL	RID	chemical	1
AINR	AFDL	chemical	3
AINR	AINL	electrical	6
AINR	ASER	chemical	1
AINR	ASGR	electrical	2
AINR	AUAL	chemical	1
AINR	BAGL	chemical	1
AINR	BAGR	chemical	4
AINR	CEPshVL	chemical	3
AINR	CEPVL	chemical	2
AINR	RIBL	chemical	3
AINR	RIBR	chemical	2
AINR	RIML	chemical	1
AIYL	AFDL	chemical	2
AIYL	AIZL	chemical	12
AIYL	ASEL	chemical	2
AIYL	ASER	chemical	1
AIYL	RIAL	chemical	2
AIYL	RIBL	chemical	3
AIYL	RIML	electrical	2
AIYL	RIR	chemical	1
AIYR	AIYL	electrical	2
AIYR	AIZR	chemical	11
AIYR	ASER	chemical	1
AIYR	BAGL	chemical	1
AIYR	RIAR	chemical	3
AIYR	RIBR	chemical	4
AIYR	RIMR	electrical	2
AIZL	AIAL	chemical	7
AIZL	AIBL	chemical	6
AIZL	AIBR	chemical	8
AIZL	AIZR	electrical	4
AIZL	ASEL	chemical	1
AIZL	ASHL	electrical	2
AIZL	AVER	chemical	4
AIZL	RIAL	chemical	10
AIZL	RIML	chemical	7
AIZL	SMBDL	chemical	8
AIZL	SMBDR	chemical	1
AIZL	SMBVL	chemical	13
AIZR	AIAR	chemical	8
AIZR	AIBL	chemical	8
AIZR	AIBR	chemical	7
AIZR	ASER	chemical	1
AIZR	ASHR	electrical	2
AIZR	AVEL	chemical	3
AIZR	AVER	chemical	1
AIZR	AWAR	chemical	1
AIZR	AWBR	chemical	2
AIZR	BAGL	chemical	1
AIZR	RIAR	chemical	11
AIZR	RIBR	chemical	1
AIZR	RIMR	chemical	5
AIZR	SMBDR	chemical	5
AIZR	SMBVR	chemical	8
ALA	AVAL	chemical	1
ALA	AVEL	chemical	3
ALA	AVER	chemical	4
ALA	CEPshVL	chemical	1
ALA	CEPshVR	chemical	3
ALA	PVQL	electrical	2
ALA	PVQR	electrical	2
ALML	ADEL	chemical	1
ALML	AVDL	chemical	1
ALML	AVDL	electrical	2
ALML	AVJR	chemical	1
ALML	BDUL	chemical	6
ALML	BDUL	electrical	2
ALML	CEPDL	chemical	2
ALML	CEPVL	chemical	2
ALML	PVCL	chemical	4
ALML	PVCR	chemical	2
ALML	PVNL	chemical	1
ALML	PVR	chemical	1
ALML	PVR	electrical	2
ALML	RICR	chemical	1
ALML	RIFL	chemical	1
ALMR	ADER	chemical	2
ALMR	AVDR	chemical	1
ALMR	AVDR	electrical	2
ALMR	AVM	electrical	6
ALMR	BDUR	chemical	7
ALMR	CEPDR	chemical	2
ALMR	CEPVR	chemical	4
ALMR	PVCR	chemical	4
ALMR	PVNL	chemical	1
ALMR	PVNR	chemical	1
ALMR	PVR	electrical	2
ALMR	URBR	chemical	1
ALNL	RIVR	chemical	1
ALNL	SAAVL	chemical	7
ALNL	SMBDR	chemical	4
ALNL	SMDVR	chemical	1
ALNR	SAAVR	chemical	3
ALNR	SMBDL	chemical	2
ALNR	SMDDL	chemical	1
ALNR	SMDVL	chemical	1
AQR	AVAL	chemical	3
AQR	AVAR	chemical	3
AQR	AVBL	chemical	5
AQR	AVBR	chemical	5
AQR	AVDR	chemical	2
AQR	BAGL	chemical	4
AQR	BAGR	chemical	4
AQR	PVCL	chemical	3
AQR	PVCR	chemical	3
AQR	PVPL	electrical	8
AQR	PVPR	electrical	8
AQR	RIAL	chemical	1
AQR	RIAR	chemical	2
AQR	RIGR	chemical	1
AQR	RIR	chemical	2
ASEL	ADLL	chemical	1
ASEL	AFDR	chemical	1
ASEL	AIAL	chemical	3
ASEL	AIAR	chemical	1
ASEL	AIBL	chemical	8
ASEL	AIBR	chemical	2
ASEL	AIYL	chemical	7
ASEL	AIYR	chemical	4
ASEL	AIZL	chemical	1
ASEL	ASHL	chemical	1
ASEL	AWCR	chemical	4
ASEL	RIAR	chemical	1
ASER	AFDR	chemical	3
ASER	AIAR	chemical	4
ASER	AIBL	chemical	6
ASER	AIBR	chemical	6
ASER	AIYL	chemical	6
ASER	AIYR	chemical	15
ASER	AWAR	chemical	1
ASER	AWCR	chemical	10
ASER	RIAL	chemical	2
ASGL	AIAL	chemical	13
ASGL	AIBL	chemical	5
ASGL	AIZL	electrical	2
ASGR	AIAR	chemical	10
ASGR	AIBR	chemical	2
ASGR	AIZR	electrical	2
ASHL	ADAL	chemical	1
ASHL	ADFL	chemical	3
ASHL	AIAL	chemical	9
ASHL	AIBL	chemical	3
ASHL	ASHR	electrical	2
ASHL	AVAL	chemical	1
ASHL	AVAR	chemical	2
ASHL	AVBL	chemical	3
ASHL	AVBR	chemical	2
ASHL	AVDR	chemical	5
ASHL	AVEL	chemical	1
ASHL	RIAL	chemical	4
ASHR	ADAR	chemical	2
ASHR	ADFR	chemical	3
ASHR	ADLR	chemical	1
ASHR	AIAR	chemical	9
ASHR	AIBR	chemical	3
ASHR	AVAR	chemical	4
ASHR	AVBL	chemical	1
ASHR	AVBR	chemical	4
ASHR	AVDL	chemical	3
ASHR	AVDR	chemical	1
ASHR	AVER	chemical	1
ASHR	AWBR	chemical	1
ASHR	RIAR	chemical	3
ASHR	RIFR	chemical	1
ASIL	AIAL	chemical	5
ASIL	AIBL	chemical	4
ASIL	AIYL	chemical	1
ASIL	ASGL	chemical	2
ASIL	AWCL	chemical	7
ASIL	AWCR	chemical	1
ASIL	CEPshVL	chemical	1
ASIR	ADLR	chemical	1
ASIR	AIAL	chemical	1
ASIR	AIAR	chemical	5
ASIR	AIAR	electrical	4
ASIR	AIBR	chemical	2
ASIR	AINL	chemical	2
ASIR	AIYR	chemical	1
ASIR	ASGR	chemical	3
ASIR	ASIL	electrical	2
ASIR	ASKR	chemical	1
ASIR	AWCL	chemical	1
ASIR	AWCR	chemical	3
ASIR	CEPshVR	chemical	1
ASJL	AIAL	electrical	2
ASJL	ASJR	electrical	2
ASJL	ASKL	chemical	4
ASJL	PVQL	chemical	9
ASJR	ASKR	chemical	6
ASJR	PVQR	chemical	12
ASKL	ADLL	chemical	1
ASKL	AIAL	chemical	16
ASKL	AIAR	chemical	1
ASKL	AIBL	chemical	2
ASKL	AIML	chemical	4
ASKL	ASEL	chemical	1
ASKL	ASJL	chemical	1
ASKL	PVQL	electrical	4
ASKL	RMGL	electrical	2
ASKR	AIAL	chemical	1
ASKR	AIAR	chemical	18
ASKR	AIBR	chemical	5
ASKR	AIMR	chemical	4
ASKR	ASER	chemical	1
ASKR	ASKL	electrical	2
ASKR	PVQR	electrical	4
ASKR	RMGR	electrical	4
AUAL	AINL	electrical	2
AUAL	AINR	electrical	4
AUAL	AUAR	electrical	2
AUAL	AVAL	chemical	3
AUAL	AVEL	chemical	1
AUAL	RIAL	chemical	12
AUAL	RIBL	chemical	11
AUAL	URXL	chemical	1
AUAR	AINL	electrical	4
AUAR	AINR	electrical	4
AUAR	AVAR	chemical	3
AUAR	AVER	chemical	3
AUAR	AWBR	electrical	2
AUAR	RIAR	chemical	6
AUAR	RIBR	chemical	11
AVAL	ADEL	chemical	1
AVAL	ADER	chemical	1
AVAL	AVAR	electrical	2
AVAL	RIGR	chemical	2
AVAL	RIML	electrical	2
AVAL	RIMR	electrical	4
AVAL	URYDL	electrical	2
AVAL	URYVR	electrical	2
AVAR	RIGL	chemical	1
AVBL	DVA	electrical	2
AVBL	SDQR	electrical	2
AVBL	SIBVR	electrical	2
AVBR	AVBL	electrical	8
AVBR	AVDR	chemical	1
AVBR	AVJR	chemical	1
AVBR	DVA	electrical	2
AVBR	SIBVL	electrical	2
AVEL	RMDVL	electrical	2
AVEL	RMDVR	electrical	2
AVEL	URYVR	electrical	2
AVER	AVAR	electrical	2
AVER	RMDVL	electrical	2
AVER	RMDVR	electrical	2
AVFL	AIAL	chemical	1
AVFL	ASKL	chemical	1
AVFL	AVBL	chemical	3
AVFL	AVBR	chemical	1
AVFL	AVFR	chemical	1
AVFL	BDUL	chemical	1
AVFL	RIFL	chemical	2
AVFL	RIFR	chemical	1
AVFR	ADEL	chemical	1
AVFR	AVBR	chemical	1
AVFR	PVNR	chemical	1
AVFR	PVQR	chemical	1
AVFR	RIFR	chemical	2
AVFR	RMGL	chemical	2
AVFR	RMGR	chemical	1
AVFR	SMBVL	chemical	1
AVHL	ADFR	chemical	2
AVHL	ASHR	chemical	1
AVHL	AVDL	chemical	1
AVHL	AWBR	chemical	1
AVHL	DVA	chemical	1
AVHL	PVPR	chemical	1
AVHL	RIH	chemical	1
AVHL	RIR	chemical	2
AVHL	SMBVR	chemical	1
AVHL	URXR	chemical	2
AVHR	ADFL	chemical	1
AVHR	AVER	chemical	1
AVHR	AVJR	chemical	4
AVHR	AWBR	chemical	1
AVHR	DVA	chemical	1
AVHR	PVPL	chemical	3
AVHR	PVPR	chemical	1
AVHR	PVQL	chemical	1
AVHR	RICL	chemical	1
AVHR	RIML	chemical	1
AVHR	RIR	chemical	2
AVHR	SMBVL	chemical	1
AVHR	URXL	chemical	3
AVJL	AIYR	chemical	1
AVJL	AQR	chemical	1
AVJL	AVBL	chemical	2
AVJL	AVBR	chemical	2
AVJL	PVCL	chemical	1
AVJL	PVCR	chemical	3
AVJL	RIMR	chemical	1
AVJL	RIS	chemical	1
AVJR	AVAL	chemical	1
AVJR	AVBL	chemical	2
AVJR	AVBR	chemical	2
AVJR	AVFR	chemical	1
AVJR	AVJL	electrical	2
AVJR	PVCL	chemical	1
AVJR	RIS	chemical	1
AVKL	AQR	electrical	2
AVKL	AVEL	chemical	2
AVKL	AVER	chemical	1
AVKL	AVKR	chemical	1
AVKL	DVC	chemical	1
AVKL	PVPL	electrical	2
AVKL	PVPR	electrical	2
AVKL	RIML	chemical	3
AVKL	RIMR	chemical	2
AVKL	SAADR	chemical	1
AVKL	SAAVR	chemical	1
AVKL	SIADR	chemical	1
AVKL	SMBDR	chemical	1
AVKL	SMDDL	chemical	1
AVKR	ADEL	electrical	2
AVKR	ADER	electrical	2
AVKR	AIBR	chemical	1
AVKR	AVER	chemical	3
AVKR	AVKL	chemical	1
AVKR	AVKL	electrical	6
AVKR	FLPL	chemical	1
AVKR	PVPL	electrical	2
AVKR	PVPR	electrical	2
AVKR	RIGL	chemical	1
AVKR	RIGR	chemical	1
AVKR	RIML	chemical	1
AVKR	RIMR	chemical	3
AVKR	SAADL	chemical	1
AVKR	SMDDL	chemical	1
AVKR	SMDVR	chemical	1
AVL	ADEL	electrical	2
AVM	AVBL	chemical	3
AVM	AVBR	chemical	6
AVM	AVDL	chemical	1
AVM	AVDL	electrical	2
AVM	AVDR	electrical	2
AVM	AVJL	chemical	1
AVM	BDUL	chemical	2
AVM	BDUR	chemical	5
AVM	PVCL	chemical	3
AVM	PVCR	chemical	4
AVM	PVNL	chemical	1
AVM	PVPL	chemical	1
AWAL	ADFL	chemical	1
AWAL	AFDL	chemical	3
AWAL	AIYL	chemical	1
AWAL	AIZL	chemical	8
AWAL	AWBL	chemical	2
AWAR	ADFR	chemical	1
AWAR	ADLR	chemical	1
AWAR	AFDR	chemical	5
AWAR	AIYR	chemical	2
AWAR	AIZR	chemical	8
AWAR	ASER	chemical	1
AWAR	ASHR	chemical	1
AWAR	AWAL	electrical	2
AWAR	AWBR	chemical	1
AWAR	RIFR	chemical	2
AWBL	ADFL	chemical	9
AWBL	AIZL	chemical	3
AWBL	AWBR	electrical	2
AWBL	RIAL	chemical	2
AWBL	RIBL	chemical	1
AWBL	RMGL	electrical	2
AWBL	SMBVL	chemical	4
AWBR	ADFR	chemical	8
AWBR	AIZR	chemical	4
AWBR	RIR	chemical	1
AWBR	RMGR	electrical	2
AWBR	SMBDR	chemical	1
AWBR	SMBVR	chemical	4
AWCL	AIAL	chemical	2
AWCL	AIAR	chemical	2
AWCL	AIBL	chemical	8
AWCL	AIBR	chemical	5
AWCL	AIYL	chemical	7
AWCL	AIYR	chemical	4
AWCL	ASEL	chemical	2
AWCL	AWCR	chemical	14
AWCL	BAGL	chemical	1
AWCL	BAGR	chemical	1
AWCL	RIAR	chemical	1
AWCR	AIAL	chemical	6
AWCR	AIAR	chemical	9
AWCR	AIBL	chemical	2
AWCR	AIBR	chemical	9
AWCR	AIYL	chemical	3
AWCR	AIYR	chemical	3
AWCR	ASER	chemical	5
AWCR	AWCL	chemical	3
BAGL	AFDR	chemical	1
BAGL	AINL	chemical	1
BAGL	AIYR	chemical	2
BAGL	AVAR	chemical	2
BAGL	AVER	chemical	1
BAGL	AWCL	chemical	1
BAGL	RIAR	chemical	4
BAGL	RIBR	chemical	3
BAGL	RIGR	chemical	1
BAGR	AFDL	chemical	1
BAGR	AIYL	chemical	2
BAGR	AQR	chemical	1
BAGR	AUAL	chemical	1
BAGR	AVAL	chemical	2
BAGR	AVEL	chemical	2
BAGR	BAGL	electrical	2
BAGR	OLQVL	chemical	1
BAGR	RIAL	chemical	7
BAGR	RIBL	chemical	4
BAGR	RIGL	chemical	2
BAGR	RIGL	electrical	4
BDUL	ADEL	chemical	1
BDUL	AVEL	chemical	1
BDUL	AVFR	chemical	2
BDUL	AVJR	chemical	2
BDUL	IL2DL	chemical	1
BDUL	PVNL	chemical	2
BDUL	PVNR	chemical	1
BDUL	RIML	chemical	1
BDUL	URADL	chemical	1
BDUR	ALMR	chemical	2
BDUR	AVBR	chemical	1
BDUR	AVJL	chemical	1
BDUR	CEPshVR	chemical	1
BDUR	PVCR	electrical	2
BDUR	PVNL	chemical	1
BDUR	PVNR	chemical	2
CEPDL	AVER	chemical	4
CEPDL	IL1DL	chemical	3
CEPDL	IL1L	chemical	1
CEPDL	OLLL	chemical	3
CEPDL	OLQDL	chemical	4
CEPDL	OLQDL	electrical	4
CEPDL	RIBL	chemical	1
CEPDL	RICL	chemical	3
CEPDL	RICR	chemical	2
CEPDL	RMDVL	chemical	3
CEPDL	RMGL	chemical	1
CEPDL	RMHR	chemical	2
CEPDL	SIADR	chemical	1
CEPDL	URADL	chemical	1
CEPDL	URBL	chemical	1
CEPDL	URXL	chemical	1
CEPDL	URYDL	chemical	2
CEPDR	AVEL	chemical	3
CEPDR	IL1DR	chemical	4
CEPDR	OLLR	chemical	2
CEPDR	OLQDR	chemical	4
CEPDR	OLQDR	electrical	4
CEPDR	RICL	chemical	2
CEPDR	RICR	chemical	3
CEPDR	RIPR	chemical	1
CEPDR	RMDVR	chemical	3
CEPDR	RMFL	chemical	1
CEPDR	RMGR	chemical	1
CEPDR	RMHL	chemical	2
CEPDR	RMHR	chemical	1
CEPDR	SIADL	chemical	1
CEPDR	URADR	chemical	2
CEPDR	URYDR	chemical	1
CEPVL	AVER	chemical	7
CEPVL	IL1VL	chemical	2
CEPVL	OLLL	chemical	5
CEPVL	OLQVL	chemical	5
CEPVL	OLQVL	electrical	2
CEPVL	RIBL	chemical	1
CEPVL	RICL	chemical	5
CEPVL	RICR	chemical	3
CEPVL	RIH	electrical	2
CEPVL	RMDDL	chemical	4
CEPVL	RMHL	chemical	1
CEPVL	RMHR	chemical	2
CEPVL	URAVL	chemical	3
CEPVL	URBL	chemical	1
CEPVL	URYVL	chemical	1
CEPVR	AVEL	chemical	9
CEPVR	AVER	chemical	1
CEPVR	IL1VR	chemical	3
CEPVR	OLLR	chemical	6
CEPVR	OLQVR	chemical	3
CEPVR	OLQVR	electrical	2
CEPVR	PVR	chemical	1
CEPVR	RIBR	chemical	2
CEPVR	RICL	chemical	4
CEPVR	RICR	chemical	3
CEPVR	RIH	electrical	4
CEPVR	RIPR	chemical	1
CEPVR	RMDDR	chemical	3
CEPVR	RMFL	chemical	1
CEPVR	RMGR	chemical	1
CEPVR	RMHL	chemical	1
CEPVR	RMHR	chemical	1
CEPVR	URAVR	chemical	2
DVA	AQR	chemical	3
DVA	AUAL	chemical	2
DVA	AVAL	chemical	2
DVA	AVAR	chemical	1
DVA	AVBR	chemical	1
DVA	AVEL	chemical	4
DVA	AVER	chemical	5
DVA	PVPL	chemical	1
DVA	PVR	chemical	1
DVA	RIBR	chemical	1
DVA	RICR	chemical	1
DVA	RID	chemical	1
DVA	RIH	chemical	1
DVA	RIR	chemical	3
DVA	RMEV	chemical	1
DVA	SDQL	chemical	1
DVA	SIAVL	chemical	1
DVA	SIAVR	chemical	2
DVA	SMBVL	chemical	1
DVA	URXR	chemical	1
DVC	AIBL	chemical	4
DVC	AIBL	electrical	4
DVC	AIBR	chemical	3
DVC	AIBR	electrical	6
DVC	AVAL	chemical	8
DVC	AVAR	chemical	7
DVC	AVEL	chemical	1
DVC	AVER	chemical	1
DVC	AVKL	chemical	2
DVC	CEPshVL	chemical	1
DVC	RIBL	chemical	4
DVC	RIBR	chemical	3
DVC	RIGL	chemical	8
DVC	RIGR	chemical	6
DVC	RIVL	chemical	1
DVC	RMFL	chemical	3
DVC	RMFR	chemical	1
DVC	URYDL	chemical	1
FLPL	ADAR	chemical	1
FLPL	ADEL	chemical	1
FLPL	ADER	chemical	2
FLPL	AIBL	chemical	1
FLPL	AIBR	chemical	1
FLPL	AIBR	electrical	2
FLPL	AVAL	chemical	5
FLPL	AVAR	chemical	8
FLPL	AVBL	chemical	6
FLPL	AVDL	chemical	3
FLPL	AVDR	chemical	2
FLPL	AVEL	chemical	2
FLPL	AVER	chemical	2
FLPL	AVKR	chemical	1
FLPL	DVA	chemical	1
FLPL	PVR	electrical	2
FLPL	RMFL	chemical	1
FLPR	ADAR	chemical	1
FLPR	ADER	chemical	1
FLPR	AIBL	electrical	2
FLPR	AIBR	chemical	2
FLPR	AVAL	chemical	3
FLPR	AVAR	chemical	8
FLPR	AVBL	chemical	2
FLPR	AVBR	chemical	1
FLPR	AVDL	chemical	3
FLPR	AVDR	chemical	5
FLPR	AVEL	chemical	1
FLPR	AVM	electrical	2
FLPR	FLPL	chemical	3
FLPR	RIGL	chemical	1
GLRVL	RMEV	electrical	2
GLRVR	RMEV	electrical	2
IL1DL	BWM-DL01	chemical	7
IL1DL	BWM-DL02	chemical	4
IL1DL	IL1L	electrical	2
IL1DL	OLLL	electrical	2
IL1DL	PVR	chemical	1
IL1DL	RIPL	chemical	3
IL1DL	RMDVL	chemical	6
IL1DR	BWM-DR01	chemical	6
IL1DR	BWM-DR02	chemical	2
IL1DR	IL1DL	electrical	2
IL1DR	IL1R	electrical	2
IL1DR	OLLR	electrical	2
IL1DR	PVR	chemical	2
IL1DR	RIPR	chemical	5
IL1DR	RMDVR	chemical	9
IL1DR	RMEV	electrical	2
IL1L	BWM-DL02	chemical	7
IL1L	BWM-VL02	chemical	10
IL1L	BWM-VL04	chemical	1
IL1L	IL1VL	electrical	2
IL1L	RMDDL	chemical	3
IL1L	RMDR	chemical	1
IL1L	RMDVL	chemical	4
IL1L	RMDVR	chemical	1
IL1L	RMEL	chemical	1
IL1L	RMFR	chemical	2
IL1R	BWM-DR02	chemical	11
IL1R	BWM-DR04	chemical	1
IL1R	BWM-VR02	chemical	9
IL1R	BWM-VR04	chemical	1
IL1R	IL1VR	electrical	2
IL1R	RMDDL	chemical	1
IL1R	RMDDR	chemical	2
IL1R	RMDL	chemical	2
IL1R	RMDR	chemical	2
IL1R	RMDVL	chemical	1
IL1R	RMDVR	chemical	3
IL1R	RMER	chemical	1
IL1R	RMHL	chemical	1
IL1VL	BWM-VL01	chemical	5
IL1VL	BWM-VL02	chemical	4
IL1VL	BWM-VL03	chemical	1
IL1VL	PVR	chemical	1
IL1VL	RIPL	chemical	6
IL1VL	RMDDL	chemical	5
IL1VL	RMER	chemical	1
IL1VR	BWM-VR01	chemical	7
IL1VR	BWM-VR02	chemical	3
IL1VR	BWM-VR03	chemical	1
IL1VR	BWM-VR04	chemical	2
IL1VR	IL1VL	electrical	2
IL1VR	PVR	chemical	1
IL1VR	RIPR	chemical	5
IL1VR	RMDDR	chemical	8
IL2DL	IL1DL	chemical	4
IL2DL	RIBL	chemical	1
IL2DL	RIPL	chemical	5
IL2DL	URADL	chemical	2
IL2DR	AVER	chemical	1
IL2DR	IL1DR	chemical	3
IL2DR	IL1R	chemical	1
IL2DR	OLQDR	chemical	1
IL2DR	RIPR	chemical	9
IL2DR	RMEL	chemical	2
IL2DR	RMHR	chemical	1
IL2DR	URADR	chemical	2
IL2DR	URXR	chemical	1
IL2L	IL1L	chemical	3
IL2L	IL1L	electrical	2
IL2L	OLLL	chemical	1
IL2L	OLQDL	chemical	2
IL2L	OLQVL	chemical	5
IL2L	RIH	chemical	4
IL2L	RMDR	chemical	4
IL2L	RMGL	electrical	2
IL2R	IL1R	chemical	3
IL2R	IL1R	electrical	2
IL2R	OLQDR	chemical	7
IL2R	RIH	chemical	4
IL2R	RMDL	chemical	4
IL2R	RMDVR	chemical	1
IL2R	RMED	chemical	1
IL2R	RMGR	electrical	2
IL2R	URXR	electrical	2
IL2VL	BAGR	chemical	1
IL2VL	GLRVL	chemical	1
IL2VL	IL1VL	chemical	1
IL2VL	OLQVL	chemical	1
IL2VL	RIAL	chemical	1
IL2VL	RIH	chemical	2
IL2VL	RIPL	chemical	8
IL2VL	RMEL	chemical	4
IL2VL	RMER	chemical	2
IL2VL	RMEV	chemical	1
IL2VL	URAVL	chemical	4
IL2VR	CEPVR	chemical	1
IL2VR	GLRVR	chemical	1
IL2VR	IL1VR	chemical	4
IL2VR	OLQVR	chemical	3
IL2VR	RIAR	chemical	1
IL2VR	RIH	chemical	2
IL2VR	RIPR	chemical	10
IL2VR	RMED	chemical	1
IL2VR	RMEL	chemical	3
IL2VR	RMER	chemical	5
IL2VR	URAVR	chemical	4
IL2VR	URXR	chemical	1
OLLL	AVER	chemical	20
OLLL	CEPDL	chemical	1
OLLL	CEPVL	chemical	2
OLLL	IL1L	chemical	1
OLLL	IL1VL	electrical	2
OLLL	IL2L	chemical	1
OLLL	OLLR	electrical	4
OLLL	OLQDL	electrical	2
OLLL	RIBL	chemical	11
OLLL	RIGL	electrical	2
OLLL	RMDDL	chemical	7
OLLL	RMDR	chemical	1
OLLL	RMDVL	chemical	1
OLLL	RMED	chemical	1
OLLL	RMEL	chemical	1
